Month,aviation,construction infra,construction ongoing,industrial,old structure collapse,others,port maritime,roadway,train,TOTAL
2026-08,34,0,3,4,23,75,15,311,94,559
2026-07,23,0,9,1,60,67,5,228,50,443
2026-06,33,0,7,8,31,85,3,163,28,358
2026-05,10,0,10,2,37,48,6,99,16,228
2026-04,4,0,2,5,9,40,0,58,8,126
2026-03,2,0,4,1,12,19,0,41,4,83
2026-02,9,0,1,0,8,18,0,42,4,82
2026-01,5,0,0,1,2,21,0,33,1,63
2025-12,1,0,1,1,3,10,0,25,11,52
2025-11,1,0,0,0,2,8,0,17,5,33
2025-10,2,0,0,2,4,11,0,14,4,37
2025-09,0,0,1,0,1,6,0,11,0,19
2025-08,0,1,0,1,6,5,0,13,4,30
2025-07,0,0,1,1,14,10,0,7,1,34
2025-06,1,0,0,0,3,9,0,2,3,18
2025-05,0,0,0,0,1,4,0,4,1,10
2025-04,0,0,0,0,2,3,0,2,0,7
2025-03,0,0,1,0,3,1,0,3,1,9
2025-02,0,0,0,0,0,0,0,7,1,8
2025-01,0,0,0,0,5,4,0,5,2,16
2024-12,0,0,0,0,3,5,0,7,1,16
2024-11,0,0,0,0,2,1,0,6,2,11
2024-10,0,1,0,0,3,2,0,1,5,12
2024-09,0,0,0,1,2,3,0,7,2,15
2024-08,0,0,0,1,1,5,0,7,4,18
2024-07,0,0,1,0,6,2,0,4,11,24
2024-06,0,0,0,0,0,3,0,3,3,9
2024-05,0,0,0,0,0,1,1,2,1,5
2024-04,0,0,0,0,0,3,0,4,0,7
2024-03,0,0,0,1,0,0,0,2,0,3
2024-02,0,0,0,0,1,3,0,4,0,8
2024-01,0,0,0,1,0,0,0,3,0,4
2023-12,0,0,0,2,0,2,0,1,0,5
2023-11,0,0,0,0,0,2,0,2,0,4
2023-10,0,0,0,2,0,0,0,1,4,7
2023-09,0,0,0,1,0,2,0,3,0,6
2023-08,0,0,0,1,0,0,0,3,0,4
2023-07,0,0,0,0,3,3,0,3,2,11
2023-06,0,0,0,0,2,1,0,1,2,6
2023-05,0,0,0,0,1,1,0,3,0,5
2023-04,0,0,0,0,2,0,0,3,0,5
2023-03,0,0,0,0,0,0,0,2,0,2
2023-02,0,0,0,0,1,1,0,3,0,5
2023-01,0,0,0,0,2,0,0,0,0,2
2022-12,0,0,0,0,1,1,0,4,0,6
2022-11,0,0,0,0,1,1,0,2,1,5
2022-10,0,0,0,0,1,0,0,1,0,2
2022-09,0,0,0,0,2,0,0,1,0,3
2022-08,0,0,0,0,0,5,0,0,0,5
2022-07,0,0,0,0,1,0,0,2,0,3
2022-06,0,0,0,0,1,0,0,1,0,2
2022-05,0,0,0,0,0,0,0,3,0,3
2022-04,0,0,0,1,1,2,0,0,0,4
2022-03,0,0,0,0,1,0,0,2,0,3
2022-02,0,0,0,0,0,2,0,1,0,3
2022-01,0,0,0,0,0,2,0,0,0,2
2021-12,0,0,0,0,0,1,0,0,0,1
2021-11,0,0,0,0,1,1,0,2,0,4
2021-10,0,0,0,0,0,0,0,1,0,1
2021-09,0,0,0,0,1,0,0,0,0,1
2021-08,0,0,0,0,0,1,0,0,0,1
2021-07,0,0,0,0,0,0,0,3,0,3
2021-05,0,0,0,0,0,0,0,1,0,1
2021-03,0,0,0,0,1,1,0,0,0,2
2021-02,0,0,0,0,1,1,0,0,0,2
2020-12,0,0,0,0,1,0,0,0,0,1
2020-11,0,0,0,0,0,1,0,0,0,1
2020-10,0,0,1,0,0,0,0,0,1,2
2020-09,0,0,0,0,0,0,0,1,0,1
2020-08,0,0,0,0,0,2,0,0,0,2
2020-07,0,0,0,0,0,0,0,0,1,1
2020-05,0,0,0,0,0,2,0,0,0,2
2020-03,0,0,0,0,0,1,0,0,0,1
2020-01,0,0,0,0,0,0,0,1,0,1
2019-11,0,0,0,0,1,0,0,0,0,1
2019-08,0,0,0,0,1,0,0,0,0,1
2019-07,0,0,0,0,1,0,0,0,0,1
2019-06,0,0,0,0,0,0,0,1,0,1
2019-04,0,0,1,0,0,0,0,0,0,1
2018-08,0,0,0,0,1,0,0,0,0,1
2018-07,0,0,0,0,1,0,0,0,1,2
2018-06,0,0,0,0,0,1,0,0,0,1
2018-05,0,0,0,0,0,0,0,1,0,1
2018-02,0,0,1,0,0,0,0,0,0,1
2018-01,0,0,0,0,0,0,0,1,0,1
2017-10,0,0,0,0,0,0,0,1,0,1
2017-08,0,0,0,0,1,0,0,0,0,1
2017-06,0,0,0,0,1,0,0,0,0,1
2017-01,0,0,0,0,1,0,0,1,0,2
2016-12,0,0,0,0,2,0,0,0,1,3
2016-11,0,0,0,0,1,0,0,1,0,2
2016-10,0,0,0,0,0,0,0,1,0,1
2016-08,0,0,0,0,0,0,0,1,0,1
2016-05,0,0,0,0,2,0,0,1,0,3
2014-07,0,0,0,0,0,1,0,0,0,1
2014-06,0,0,0,0,1,0,0,0,0,1
2014-03,0,0,0,0,0,1,0,0,0,1
