Accident Type,Reported Cause (as written in the report),Times Reported
others,explosion_blast,28
old structure collapse,structural_failure,28
roadway,overspeeding,27
others,firecracker_unit,17
construction ongoing,under_construction,14
roadway,hit_divider_barrier,14
roadway,explosion_blast,13
roadway,lost_control,12
others,fire_short_circuit,12
roadway,head_on_collision,11
roadway,structural_failure,11
others,gas_leak,10
roadway,fire_short_circuit,10
construction ongoing,structural_failure; under_construction,8
old structure collapse,wall_slab_roof_collapse,7
roadway,gorge_valley_plunge,6
roadway,pothole_bad_road,6
construction ongoing,structural_failure,5
others,explosion_blast; firecracker_unit,5
roadway,brake_failure,5
roadway,fog_poor_visibility,4
roadway,boiler_blast; explosion_blast,4
roadway,tyre_burst,4
roadway,hit_stationary_vehicle,3
construction ongoing,crane_failure,3
port maritime,structural_failure,3
roadway,fell_into_water,3
roadway,lost_control; hit_divider_barrier,3
train,overspeeding,3
roadway,overtaking,3
others,boiler_blast,2
industrial,gas_leak,2
roadway,trench_excavation_collapse; gorge_valley_plunge,2
roadway,driver_fatigue,2
train,crossing_railway_track,2
train,fell_from_train,2
others,electrocution,2
roadway,hit_tree_pole,2
train,head_on_collision,2
roadway,explosion_blast; firecracker_unit,2
train,fire_short_circuit,2
roadway,lost_control; hit_tree_pole,2
old structure collapse,fog_poor_visibility,1
train,rail_signal_track_fault,1
industrial,firecracker_unit,1
roadway,overspeeding; driver_fatigue,1
train,structural_failure; under_construction,1
construction ongoing,under_construction; fell_into_water,1
old structure collapse,structural_failure; fire_short_circuit,1
roadway,structural_failure; fell_into_water,1
others,trench_excavation_collapse,1
roadway,slippery_wet_road; manhole_drain,1
roadway,tyre_burst; lost_control,1
train,electrocution,1
train,explosion_blast,1
train,fell_into_water,1
aviation,runway_excursion,1
aviation,drunk_driving,1
aviation,fire_short_circuit,1
others,suffocation_toxic_fumes,1
others,gas_leak; suffocation_toxic_fumes; septic_sewer_deaths,1
others,suffocation_toxic_fumes; septic_sewer_deaths,1
old structure collapse,structural_failure; explosion_blast; firecracker_unit,1
old structure collapse,wall_slab_roof_collapse; boiler_blast,1
port maritime,under_construction,1
others,gas_leak; septic_sewer_deaths,1
others,boiler_blast; explosion_blast,1
train,hit_divider_barrier,1
others,overspeeding,1
roadway,overspeeding; lost_control; fell_into_water,1
port maritime,head_on_collision,1
others,pothole_bad_road,1
old structure collapse,gorge_valley_plunge,1
roadway,firecracker_unit,1
roadway,gas_leak,1
old structure collapse,fire_short_circuit,1
old structure collapse,gas_leak,1
roadway,overspeeding; lost_control,1
roadway,wrong_side_driving,1
roadway,hit_and_run,1
roadway,drunk_driving; hit_divider_barrier,1
old structure collapse,lift_elevator,1
old structure collapse,explosion_blast,1
roadway,drunk_driving,1
others,machinery_entrapment,1
others,overspeeding; fog_poor_visibility,1
train,lost_control; hit_tree_pole,1
port maritime,hit_stationary_vehicle,1
roadway,manhole_drain,1
old structure collapse,structural_failure; wall_slab_roof_collapse,1
roadway,After multiple road accidents across Maharashtra,1
others,Caused By Drunk Drivers,1
others,After 2 vehicles fall into ‘gap’ on Gujarat road,1
roadway,After hitting bridge railing,1
others,After Fatal Accident in India,1
others,After Air India crash killed 260: Do we know what happened?,1
aviation,After Ajit Pawar plane accident,1
aviation,"After wedding, Indian-origin pilot killed in US chopper crash, wife survives",1
others,After blast at Vedanta power plant in Chhattisgarh,1
others,After wall crashes on auto,1
others,After man killed in Holi,1
others,After Delhi Man Killed During Fight On Holi,1
others,After Water Balloon Hits Woman On Holi,1
others,After hit-and-run crash near 20th Avenue and Indian School Road,1
others,After man killed in road rage incident,1
others,After being hit by a car on I-17 near Indian School Road,1
others,Trying to save turtle on I-95 in Indian River County,1
others,After man killed trying to save turtle,1
others,Due to the driver's intervention,1
others,Due to bad road,1
others,"When returning from Vitthal's darshan, the devotees of Bombay were put to death",1
others,"After being hit by a car in Atpadi, Pudhari",1
others,Due to corruption and negligence,1
roadway,While driving the bus,1
others,When their car hit a tree in Kannur Chalo,1
others,When the accident was only half an hour before reaching home,1
others,After being hit by an unknown vehicle,1
others,After being hit by a car while riding a bicycle,1
others,After being trapped between lift door and wall,1
others,While talking on a mobile phone 500 meters away from the accident site,1
others,After falling into open drain in Mumbai #Mumbai #gutter #drowning #death,1
others,While driving a car,1
roadway,"When the truck did not brake, the bus full of passengers overturned on the 8th",1
others,After being hit by a car from Surat,1
others,While overtaking near Mosali Char Road Divya Bhaskar,1
others,"Due to car overturning, two seriously injured",1
others,Due to getting stuck in the machine,1
others,"After the dead bodies of the Mathura accident reached Jagrao, there was a wave of mourning",1
others,"Due to cylinder explosion in Batala, 5 people were present in the house, there was screaming",1
others,"After the accident, ACP and Gunman died",1
others,When most of the guests were asleep,1
others,"Following Medha Prithviraj’s death, residents have been demanding better roads in Electronics City Phase 1",1
others,After car catches fire in Vellore,1
others,Caused by an electrical short circuit,1
others,After Car Falls Into Drain In Delhi,1
roadway,After Van Collides With Truck On Punjab Highway,1
others,"After Air India AI171 crash, families grapple with loss and unanswered questions",1
roadway,"While trying to save cows, pickup-dumper collision on NH-719, 8 laborers killed",1
roadway,"Due to collision with truck in Kanpur, stunt bikers trample engineer in Bithoor",1
roadway,"Due to collision with speeding bike, compensation",1
roadway,"After finishing work, ran away after being hit by an unknown vehicle",1
others,"Due to accident in Gonda: Accusation of murder on friends is wrong, PM report says it",1
roadway,"While returning from Nag Panchami fair in Rafiganj, Hiwa collided, one injured",1
roadway,"After driver dozes off, one passenger from Kanpur killed, 20 injured",1
aviation,"Due to the negligence of the bus driver, the youth going abroad missed his flight, now",1
roadway,"After the collision of two trucks, both the vehicles burst into flames, the driver trapped in",1
train,"After being hit by train in Mau: Accident happened at Paligarh halt, had left home to",1
train,Due to train shock in Navgachia: This happened while passing by the track side due to,1
train,After being hit by a train in Prayagraj: Accident happened while going to get medicine in,1
train,"After being hit by a train: The accident happened while grazing on the railway track, animal",1
train,"While boarding train at Barabanki railway station: dies, wife seriously injured",1
others,"While filling gunpowder in kiosk, employee got burnt: Accident in Ordnance Factory of Jabalpur",1
others,"After 40 years, toxic waste from Bhopal gas accident to be burnt",1
old structure collapse,After slab fell,1
roadway,After falling directly on road,1
roadway,While 5 crore are injured Lokmat,1
roadway,When an ST bus moved forward without a driver,1
roadway,After being crushed,1
roadway,After being hit by a lorry,1
roadway,After Being Hit by Trailer,1
roadway,Due to high speed and carelessness,1
roadway,Due to rain,1
old structure collapse,After building collapses in Kolkata,1
roadway,After Speeding SUV Rams Truck In Madhya Pradesh's Maihar,1
roadway,Due to collision with unknown vehicle,1
others,"After the Coromandel Express accident, screams echo in the air",1
aviation,"After 81 years! He died in an air crash in 1945, supporters are not ready to",1
others,Due to construction of illegal and dangerous factories: Jamaat Amir,1
port maritime,Due to scrap ship carrying LNG without degassing: fire service ajkerpatrika,1
others,"After being crushed under JCB in Daund taluka, the body was taken from the trunk of",1
roadway,After being injured in a road accident,1
roadway,After losing control,1
others,"While undergoing treatment, the accident happened last Friday",1
roadway,After bus hits scooter,1
roadway,"Due to a truck overturning on a bus, 11 pilgrims died",1
others,Police said more than 240 personnel were injured during the Cockroach Janta Party's 'Chalo Sansad' march,1
