period,category,number_of_accidents
2026,aviation,120
2026,construction_ongoing,36
2026,industrial,22
2026,old_structure_collapse,182
2026,others,373
2026,port_maritime,29
2026,roadway,975
2026,train,205
2025,aviation,5
2025,construction_infra,1
2025,construction_ongoing,4
2025,industrial,5
2025,old_structure_collapse,44
2025,others,71
2025,roadway,110
2025,train,33
2024,construction_infra,1
2024,construction_ongoing,1
2024,industrial,4
2024,old_structure_collapse,18
2024,others,28
2024,port_maritime,1
2024,roadway,50
2024,train,29
2023,industrial,6
2023,old_structure_collapse,11
2023,others,12
2023,roadway,25
2023,train,8
2022,industrial,1
2022,old_structure_collapse,9
2022,others,13
2022,roadway,17
2022,train,1
2021,old_structure_collapse,4
2021,others,5
2021,roadway,7
2020,construction_ongoing,1
2020,old_structure_collapse,1
2020,others,6
2020,roadway,2
2020,train,2
2019,construction_ongoing,1
2019,old_structure_collapse,3
2019,roadway,1
2018,construction_ongoing,1
2018,old_structure_collapse,2
2018,others,1
2018,roadway,2
2018,train,1
2017,old_structure_collapse,3
2017,roadway,2
2016,old_structure_collapse,5
2016,roadway,4
2016,train,1
2014,old_structure_collapse,1
2014,others,2
